Time,X,Y,Attention
79.41511117929078,412,251,2
79.51211106294251,423,205,2
79.62087080163575,422,218,0
79.7168709961853,426,230,0
79.81220591989135,417,229,0
79.92020595994568,373,276,2
80.01220596757507,350,278,2
80.11163684931945,332,337,2
80.21463701335144,312,297,2
80.31234402098083,255,293,2
80.41134423651123,250,266,2
80.51334423460388,311,310,2
80.61425401335144,392,317,2
80.71325399046326,445,335,2
80.82025410299683,493,347,2
80.91126001525879,510,354,2
81.01525986839295,526,396,2
81.11825979400635,522,384,2
81.21250011062622,524,354,2
81.31250001525879,522,380,2
81.4148241373291,530,350,0
81.51582396948243,568,287,2
81.61482418501282,595,278,2
81.71155108773803,630,210,2
81.81955112779235,632,215,2
81.91355099046325,616,230,0
82.01452096566773,582,252,2
82.11552103623963,537,256,2
82.21131812588501,512,239,2
82.31131803051758,478,200,2
82.42031799809266,457,229,2
82.5208200782013,444,254,2
82.6148199408722,422,225,2
82.71681993896485,427,276,0
82.81373496566772,435,309,2
82.91073508773803,454,309,2
83.01936595994567,460,281,2
83.11136596757507,477,291,0
83.22136610108947,474,297,0
83.3136440038147,471,303,0
83.41164405340577,449,344,2
83.517644,447,350,0
83.62781997711181,440,356,0
83.72182007820129,414,354,2
83.81552201144409,378,331,2
83.91552215449524,366,317,2
84.02052217356872,341,314,0
84.11149091035462,321,298,2
84.2294909408722,294,245,2
84.31849092752076,289,246,2
84.41232003814697,256,242,2
84.52132000572205,271,273,0
84.61417684550476,308,329,2
84.72117695803833,330,301,2
84.81517682070923,318,227,2
84.92192914877319,309,227,2
85.01092913542175,320,231,0
85.12492921743774,348,245,2
85.21768197520447,398,279,2
85.31168183787537,438,296,2
85.4121660629425,477,336,2
85.51416606103516,481,356,2
85.61216611062622,460,382,0
85.72095998283386,451,361,2
85.8119600629425,378,338,2
85.91196020599365,356,346,2
86.01862106866454,344,338,2
86.11762104577636,350,343,0
86.21333099046326,345,332,0
86.317331082016,357,330,0
86.41133118310547,429,335,2
86.51658098283386,443,354,2
86.61058084550476,507,308,2
86.72258083406066,504,310,2
86.81675505912781,501,285,2
86.9127550152588,492,267,0
87.01164013542176,449,210,2
87.11264020599366,425,229,2
87.21164018310547,393,301,2
87.31534200381469,383,332,2
87.41134219836425,306,343,2
87.52134209346008,302,338,2
87.61401496566772,287,295,2
87.7170151296997,262,294,0
87.8165380114441,246,259,2
87.9195379370575,263,261,0
88.01153794468689,275,231,0
88.11618187983703,299,271,0
88.21818187792968,343,266,2
88.31118181307983,372,236,2
88.41688698664856,398,188,2
88.51888698474121,403,204,0
88.62326998092651,396,202,0
88.71226996757507,399,195,0
88.81126994468688,448,190,2
88.92233107629394,448,174,2
89.0263309294281,403,172,2
89.12433097901916,378,169,2
89.21447106866455,375,169,2
89.31147095231628,386,220,2
89.41720593896484,404,252,2
89.52320612397766,439,281,2
89.61220611062622,446,298,2
89.71231991989136,453,300,0
89.81131989700317,462,318,0
89.91431982261658,457,316,0
90.02182990272522,457,323,0
90.1158300038147,452,325,0
90.22416914686585,444,320,0
90.317169082016,475,308,0
90.41516913160706,480,307,0
90.5115569923706,456,282,2
90.61355699046325,434,266,2
90.71855700953674,455,261,0
90.81530403623962,472,278,2
90.91130423078918,471,263,0
91.01730417738342,473,268,0
91.11198010108947,476,272,0
91.22098006866455,467,275,0
91.31418001335145,479,277,0
91.42017995994568,478,279,0
91.517180082016,483,279,0
91.62645812016297,480,286,0
91.71145815830994,483,302,0
91.81445808392334,479,332,2
91.92253204005432,479,314,0
92.01553197520447,478,308,0
